number,barcode,product_name,store_number,store_name,category1,category2,category3,category4,price1,price2,sale_num,ware_house_inventory,jd_inventory,total_inventory
13050100201005 ,8809585380925 ,EYECROWN艾珂兰· 秀型睫毛膏 玫瑰酒红色 BR0201 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,睫毛,卷翘睫毛膏,31.05,69.9,0,8,111,119
13050200301001 ,8809585380932 ,EYECROWN艾珂兰· 秀美眉毛膏 粉棕色 BR0201 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,染眉膏,染眉膏,31.05,69.9,0,14,26,40
13050200301002 ,8809585380956 ,EYECROWN艾珂兰· 秀美眉毛膏 蜜棕色 BR0203 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,染眉膏,染眉膏,31.05,69.9,0,0,86,86
1302030010467 ,6971014620529 ,POP KIT · 闪光星动金属唇膏 #203 宝石 2.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,30.8,65.9,0,1,6,7
1302030010468 ,6971014620536 ,POP KIT · 闪光星动金属唇膏 #204 星空 2.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,30.8,65.9,0,34,0,34
1302030010470 ,6971014620574 ,POP KIT · 闪光星动金属唇膏 #206 血钻 2.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,30.8,65.9,0,14,12,26
1305050030122 ,6926309381029 ,FLORTTE花洛莉亚· MOMENT即刻即可四色眼影ALWAYS 1.8g*4,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,30,69.9,0,170,0,170
1305050030123 ,6926309381036 ,FLORTTE花洛莉亚· MOMENT即刻即可四色眼影DAILY 1.8g*4,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,30,69.9,0,168,0,168
1305050030126 ,6971053259476 ,Judydoll橘朵·随心组合四色眼影#24 4.8g,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,2-8色,30,56.9,0,3,20,23
1303010070018 ,6970298004117 ,SIVANNA COLORS思薇娜·光泽亮肤四合一散粉 4*4g,100,广东快客电子商务有限公司,TC彩妆,底妆,定妆,散粉,30,69.9,0,0,6,6
13020300101144 ,6935778567384 ,CATKIN卡婷·卡婷点绛唇口红 CO149相见欢3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,0,453,453
13020300101145 ,6935778567711 ,CATKIN卡婷·卡婷点绛唇口红 CO150君不知3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,0,413,413
13020300101142 ,6935778567360 ,CATKIN卡婷·卡婷点绛唇口红 CR147倾城恋3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,0,428,428
13020300101143 ,6935778567377 ,CATKIN卡婷·卡婷点绛唇口红 CR148朝暮思3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,0,519,519
1302030010126 ,6935778564680 ,CATKIN卡婷·点绛唇口红CO131杏橘洲头 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,29.75,79.9,0,0,874,874
1302030010135 ,6935778565199 ,CATKIN卡婷·点绛唇口红CO137碧玉妆成 3.6g,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,0,7,7
1302030010135 ,6935778565199 ,CATKIN卡婷·点绛唇口红CO137碧玉妆成 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,29.75,79.9,0,42,0,42
1302030010132 ,6935778564468 ,CATKIN卡婷·点绛唇口红CP126锦瑟桃花 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,29.75,79.9,0,0,370,370
1302030010131 ,6935778564475 ,CATKIN卡婷·点绛唇口红CP127豆蔻年华 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,29.75,79.9,0,72,20,92
1302030010130 ,6935778564994 ,CATKIN卡婷·点绛唇口红CP133千里婵娟 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,亮面口红,29.75,79.9,0,195,100,295
1302030010067 ,8809485973487 ,UNNY悠宜·黑方口红M01-牛血色3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,1008,746,1754
1302030010067 ,8809485973487 ,UNNY悠宜·黑方口红M01-牛血色3.5g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,5,46,51
1302030010065 ,8809485973494 ,UNNY悠宜·黑方口红M02-枫叶红3.5g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,6,11,17
1302030010065 ,8809485973494 ,UNNY悠宜·黑方口红M02-枫叶红3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,752,422,1174
1302030010069 ,8809485973500 ,UNNY悠宜·黑方口红M03-正红色3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,1280,365,1645
1302030010069 ,8809485973500 ,UNNY悠宜·黑方口红M03-正红色3.5g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,0,15,15
1302030010068 ,8809485973517 ,UNNY悠宜·黑方口红M04-蔷薇红3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,511,37,548
1302030010068 ,8809485973517 ,UNNY悠宜·黑方口红M04-蔷薇红3.5g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,0,5,5
1302030010066 ,8809485973524 ,UNNY悠宜·黑方口红M05-玫瑰豆沙色3.5g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,0,11,11
1302030010066 ,8809485973524 ,UNNY悠宜·黑方口红M05-玫瑰豆沙色3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,29.7,69.9,0,348,229,577
